Date,Company,Year,Quarter,Revenue,Cost of Goods Sold,Gross Profit,Operating Income,Operating Expenses,Net Income,Gross Margin,Operating Margin,Net Margin
2022-01-01,DIPD.N0000,2022,1,46386667000.0,44561333000.0,10732650000.0,7596775000.0,6206450000.0,6077420000.0,23.137359707262434,16.37706584954681,13.101652679637448
2022-01-01,REXP.N0000,2022,1,2767931.0,1735091.0,1032840.0,458611.0,574229.0,991658.0,37.31451398174304,16.56872949506328,35.82668787625125
2022-04-01,DIPD.N0000,2022,2,25093099000.0,15374560000.0,5355916000.0,5012432000.0,2253288000.0,4009945600.0,21.344179130684495,19.975340630505624,15.980272504404496
2022-04-01,REXP.N0000,2022,2,2661097.0,1979877.0,681220.0,217655.0,463565.0,250220.0,25.599217164951142,8.17914566812108,9.402889109265839
2022-07-01,DIPD.N0000,2022,3,30013255000.0,31989523000.0,10004535000.0,7247342000.0,4837685000.0,5797873600.0,33.33372205047403,24.147137656345503,19.317710125076403
2022-07-01,REXP.N0000,2022,3,1909048.0,1487153.0,421895.0,11502.0,410393.0,52543.0,22.099758623146197,0.6024992561737578,2.752314242491545
2022-10-01,DIPD.N0000,2022,4,26232536000.0,47318492000.0,14262521000.0,8835827000.0,7705312000.0,7068661600.0,54.369585159437115,33.68270227476291,26.94616181981033
2022-10-01,REXP.N0000,2022,4,1604137.0,1037979.0,566158.0,169189.0,7938.0,1033224.0,35.293618936537214,10.547041805032862,64.40995999718228
2023-01-01,DIPD.N0000,2023,1,55293983000.0,60490240000.0,19609071000.0,11218691000.0,10747691000.0,8974952800.0,35.46329986754617,20.289171427567446,16.231337142053956
2023-01-01,REXP.N0000,2023,1,1474458.0,1275967.0,198491.0,79396.40000000001,119094.59999999999,20480.0,13.461963650371867,5.384785460148747,1.3889849693921428
2023-04-01,REXP.N0000,2023,2,2069984.0,1661929.0,408055.0,163222.0,244833.0,83650.0,19.71295430302843,7.885181721211372,4.041094037441835
2023-04-01,DIPD.N0000,2023,2,25450442000.0,15084368000.0,3466844000.0,1262435000.0,2310752000.0,1009948000.0,13.62194023978051,4.960365717813467,3.9682925742507735
2023-07-01,REXP.N0000,2023,3,2089873.0,1670217.0,419656.0,167862.40000000002,251793.59999999998,74245.0,20.080454649636607,8.032181859854642,3.5526082206909226
2023-07-01,DIPD.N0000,2023,3,41994058000.0,29123404000.0,7700781000.0,2943756000.0,5163283000.0,1863113000.0,18.33778721742014,7.009934595984984,4.436611008157392
2023-10-01,REXP.N0000,2023,4,1702720.0,1234766.0,467954.0,19939.0,448015.0,10744.0,27.48273350873896,1.1710087389588424,0.6309904153354633
2023-10-01,DIPD.N0000,2023,4,61581013000.0,43299386000.0,11566520000.0,4297780000.0,7802012000.0,2779338000.0,18.782607554701965,6.9790667457841264,4.513303475537176
2024-01-01,REXP.N0000,2024,1,1682540.0,1439393.0,243147.0,97258.8,145888.19999999998,14640.0,14.451186896002472,5.780474758400989,0.8701130433748976
2024-01-01,DIPD.N0000,2024,1,80099312000.0,56882914000.0,17059046000.0,7567448000.0,10149466000.0,5737977000.0,21.297368946190197,9.447581771988252,7.163578383794357
2024-04-01,REXP.N0000,2024,2,2139733.0,1707131.0,432602.0,173040.80000000002,259561.19999999998,63605.0,20.217569201391015,8.087027680556407,2.9725671380494667
2024-04-01,DIPD.N0000,2024,2,28156437000.0,15665738000.0,3520588000.0,1203475000.0,2598062000.0,812512000.0,12.503670119908994,4.274244642530587,2.885706028784821
2024-07-01,REXP.N0000,2024,3,1941892.0,1607594.0,334298.0,133719.2,200578.8,38504.0,17.215066543350506,6.886026617340203,1.9828085187023787
2024-07-01,DIPD.N0000,2024,3,36824185000.0,32303881000.0,8159588000.0,3028284000.0,5222414000.0,2119244000.0,22.158231064720102,8.22362803141468,5.755033003445969
2024-10-01,DIPD.N0000,2024,4,54865906000.0,47818315000.0,11988421000.0,4428187000.0,8082710000.0,3276732000.0,21.85040196000773,8.070926596928883,5.9722553383152
2024-10-01,REXP.N0000,2024,4,1486128.0,1123186.0,362942.0,145176.80000000002,217765.19999999998,116141.44000000002,24.42198787722188,9.768795150888753,7.815036120711002
